ticker,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
MSFT,2021-06-30,USD,333779000000,184406000000,14224000000,130334000000,2636000000,39008000000,152773000000,59715000000,51351000000,57511000000,7800000000,49711000000,122266000000,5984000000,116110000000,13393000000,15075000000,191791000000,88657000000,15163000000,88282000000,8072000000,8072000000,103134000000,9629000000,58146000000,8072000000,50074000000,58146000000,11666000000,13427000000,141988000000,None,57055000000,83111000000,7519000000
MSFT,2020-06-30,USD,301311000000,181915000000,13576000000,136527000000,1895000000,32011000000,122096000000,44151000000,43197000000,50389000000,7038000000,43351000000,130044000000,2965000000,122951000000,11482000000,13138000000,183007000000,72310000000,12530000000,78360000000,3749000000,3749000000,110697000000,7671000000,63327000000,3749000000,59578000000,63327000000,10027000000,10632000000,118304000000,None,34566000000,80552000000,7571000000
MSFT,2019-06-30,USD,286556000000,175552000000,11356000000,133819000000,2063000000,29524000000,105825000000,36477000000,35330000000,49776000000,7750000000,42026000000,129789000000,2649000000,122463000000,10146000000,14723000000,184226000000,69420000000,9382000000,74412000000,5516000000,0,108618000000,6188000000,72178000000,5516000000,66662000000,72200000000,9351000000,7581000000,102330000000,None,24150000000,78520000000,7643000000
MSFT,2018-06-30,USD,258848000000,169662000000,11946000000,133768000000,2662000000,26481000000,84300000000,29460000000,29223000000,43736000000,8053000000,35683000000,129579000000,1862000000,121822000000,6751000000,7442000000,176130000000,58488000000,8617000000,None,3998000000,0,112074000000,5568000000,76200000000,3998000000,72242000000,76200000000,8744000000,5211000000,82718000000,None,13682000000,71223000000,7677000000
MSFT,2017-06-30,USD,250312000000,162696000000,7663000000,132981000000,2181000000,19792000000,81235000000,23734000000,24179000000,45228000000,10106000000,35122000000,139004000000,6023000000,125318000000,5103000000,6076000000,162601000000,55745000000,7390000000,26656000000,10121000000,9072000000,117665000000,None,77100000000,1049000000,76073000000,86172000000,7684000000,3549000000,87711000000,None,17769000000,69315000000,7708000000
AAPL,2021-09-30,USD,351002000000,134836000000,34940000000,62639000000,6580000000,51506000000,216166000000,39440000000,70283000000,None,None,None,318994000000,127877000000,27699000000,14111000000,48849000000,287912000000,125481000000,54763000000,19512000000,15692000000,6000000000,162431000000,769000000,134913000000,9613000000,109106000000,241783000000,47493000000,53325000000,63090000000,None,5562000000,57365000000,16426786000
AAPL,2020-09-30,USD,323888000000,143713000000,38016000000,90943000000,4061000000,37445000000,180175000000,36766000000,66760000000,None,None,None,345644000000,100887000000,52927000000,11264000000,42522000000,258549000000,105392000000,42296000000,16843000000,13793000000,4996000000,153157000000,637000000,125873000000,8773000000,98667000000,216860000000,42684000000,54490000000,65339000000,None,14966000000,50779000000,16976763000
AAPL,2019-09-30,USD,338516000000,162819000000,48844000000,100557000000,4106000000,45804000000,175697000000,37378000000,58579000000,None,None,None,362952000000,105341000000,51713000000,12352000000,32978000000,248028000000,105718000000,46236000000,13622000000,16240000000,5980000000,142310000000,None,117760000000,10260000000,91807000000,209135000000,37720000000,50503000000,90488000000,None,45898000000,45174000000,4443236000
AAPL,2018-09-30,USD,365725000000,131339000000,25913000000,25913000000,3956000000,48995000000,234386000000,41304000000,49099000000,None,None,None,448287000000,170799000000,40388000000,12087000000,22283000000,258578000000,115929000000,55888000000,14766000000,20748000000,11964000000,142649000000,None,111984000000,8784000000,93735000000,220132000000,33327000000,48914000000,107147000000,None,70400000000,40201000000,4754986000
AAPL,2017-09-30,USD,375319000000,128645000000,20289000000,74181000000,4855000000,35673000000,246674000000,33783000000,41293000000,8015000000,2298000000,5717000000,268895000000,194714000000,53892000000,13936000000,18177000000,241272000000,100814000000,44242000000,10384000000,18473000000,11977000000,140458000000,None,112596000000,6496000000,97207000000,219794000000,30551000000,40415000000,134047000000,None,98330000000,35867000000,5126201000
AMZN,2020-12-31,USD,321195000000,132733000000,42122000000,84396000000,23795000000,24542000000,148451000000,150667000000,None,19998000000,4981000000,15017000000,116207000000,None,42274000000,233000000,22778000000,227791000000,126385000000,72539000000,23208000000,11529000000,59000000,103306000000,18060000000,33174000000,1155000000,31816000000,33174000000,44138000000,17017000000,93404000000,1837000000,52551000000,5000000,503000000
AMZN,2019-12-31,USD,225248000000,96334000000,36092000000,55021000000,20497000000,20816000000,190405000000,72705000000,46975000000,18803000000,4049000000,14754000000,64288000000,2169000000,18929000000,276000000,16314000000,163188000000,87812000000,47183000000,20390000000,14330000000,1307000000,77376000000,17095000000,24820000000,1305000000,23414000000,24820000000,32439000000,12171000000,62060000000,1837000000,31220000000,5000000,498000000
AMZN,2018-12-31,USD,162648000000,75101000000,31750000000,41250000000,17174000000,16677000000,91662000000,61797000000,33973000000,18658000000,4110000000,14548000000,40567000000,722000000,9500000000,418000000,11202000000,119099000000,68391000000,38192000000,15836000000,9071000000,1371000000,61758000000,16292000000,24965000000,1371000000,23495000000,24965000000,23663000000,17563000000,43549000000,1837000000,19625000000,5000000,491000000
AMZN,2017-12-31,USD,131310000000,60197000000,20522000000,30986000000,16047000000,13164000000,74484000000,48866000000,23790000000,16721000000,3371000000,13350000000,22286000000,441000000,10464000000,1329000000,8897000000,103601000000,57883000000,34616000000,6100000000,5900000000,100000000,55156000000,13183000000,24942000000,100000000,24743000000,24942000000,18170000000,20975000000,27709000000,1837000000,8636000000,5000000,484000000
AMZN,2016-12-31,USD,83402000000,45781000000,19334000000,25981000000,11461000000,8339000000,38475000000,29114000000,13327000000,4638000000,854000000,3784000000,None,223000000,6647000000,1778000000,4723000000,64117000000,43816000000,25309000000,5267000000,5053000000,1056000000,25900000000,7519000000,8838000000,1056000000,7694000000,8838000000,4768000000,12607000000,19285000000,1837000000,4916000000,5000000,477000000
TSLA,2020-12-31,USD,52148000000,26717000000,19384000000,19384000000,4101000000,1895000000,18134000000,12747000000,5117000000,520000000,313000000,207000000,None,None,None,1346000000,1536000000,28418000000,14248000000,6051000000,4668000000,1758000000,1384000000,6962000000,1094000000,8462000000,2132000000,None,9846000000,264000000,3330000000,22225000000,None,-5399000000,1000000,960000000
TSLA,2019-12-31,USD,34309000000,12103000000,6268000000,6268000000,3552000000,1324000000,15251000000,10396000000,3734000000,537000000,339000000,198000000,None,1000000,None,959000000,1470000000,26199000000,10667000000,3771000000,3842000000,1399000000,785000000,6050000000,1232000000,10402000000,228000000,None,11187000000,260000000,2691000000,6618000000,None,-6083000000,1000000,181000000
TSLA,2018-12-31,USD,29740000000,8307000000,3686000000,3685618000,3113000000,949022000,13072152000,11330000000,2699000000,350000000,282000000,68000000,None,421548000,192551000,558222000,572000000,23427000000,9993000000,3405000000,2504000000,2222000000,2711199000,13164200000,1855900000,8411000000,2567699000,None,8410490000,372000000,2710000000,4923000000,None,-5317832000,0,172603000
TSLA,2017-12-31,USD,28655372000,6570520000,3368000000,3367914000,2263537000,515381000,11620758000,10027522000,1723794000,421739000,361502000,60237000,None,456652000,155323000,423688000,273123000,23022980000,7674670000,2390250000,2193052000,799849000,3300000,13083289000,1801010000,8828985000,796549000,None,8832285000,130565000,2442970000,4237242000,None,-4974299000,169000,168797000
TSLA,2016-12-31,USD,22664076000,6259796000,3393000000,3393216000,2067454000,499142000,7350320000,5982957000,997485000,376145000,376145000,None,None,506302000,216000,194465000,216751000,16750167000,5827005000,1860341000,1614916000,1114652000,130441000,8640254000,1459684000,5892016000,984211000,None,6022457000,84492000,1891449000,4752911000,None,-2997237000,161000,161561000
FB,2020-12-31,USD,159316000000,75670000000,17576000000,61954000000,None,11335000000,31779000000,54981000000,None,19673000000,623000000,19050000000,88756000000,6234000000,44378000000,2381000000,2758000000,31026000000,14981000000,1331000000,717000000,54000000,1023000000,21539000000,469000000,None,None,None,10654000000,12245000000,6414000000,128290000000,None,77345000000,0,2854000000
FB,2019-12-31,USD,133376000000,66225000000,19079000000,54855000000,None,9518000000,31828000000,35323000000,10663000000,19609000000,894000000,18715000000,71552000000,None,35776000000,1852000000,2673000000,32322000000,15053000000,1363000000,503000000,855000000,1077000000,18308000000,418000000,None,800000000,None,10601000000,12344000000,7745000000,101054000000,None,55692000000,0,2851000000
FB,2018-12-31,USD,97334000000,50480000000,10019000000,41114000000,None,7587000000,46854000000,24683000000,6890000000,19595000000,1294000000,18301000000,62190000000,None,31095000000,1779000000,2576000000,13207000000,7017000000,820000000,264000000,None,500000000,6190000000,418000000,None,500000000,None,500000000,5550000000,6190000000,84127000000,None,41981000000,0,2875000000
FB,2017-12-31,USD,84524000000,48563000000,8079000000,41711000000,None,5832000000,35961000000,13721000000,4616000000,20105000000,1884000000,18221000000,33632000000,None,33632000000,1020000000,2135000000,10177000000,3760000000,380000000,68000000,None,390000000,6417000000,None,72000000,390000000,None,None,3282000000,6417000000,74347000000,None,33990000000,0,2910000000
FB,2016-12-31,USD,64961000000,34401000000,8903000000,29449000000,None,3993000000,30560000000,8591000000,3212000000,20657000000,2535000000,18122000000,20546000000,None,20546000000,959000000,1312000000,5767000000,2875000000,302000000,62000000,None,280000000,5323000000,None,112000000,280000000,None,None,90000000,2892000000,59194000000,None,21670000000,0,2881000000
NVDA,2021-01-31,USD,28791000000,16055000000,847000000,11561000000,1826000000,2429000000,12880000000,2149000000,1408000000,6930000000,2737000000,4193000000,22209000000,144000000,10714000000,97000000,2144000000,11898000000,3925000000,1201000000,902000000,999000000,0,9246000000,634000000,6963000000,999000000,5964000000,6963000000,1316000000,1375000000,16893000000,10756000000,18908000000,3000000,620000000
NVDA,2020-01-26,USD,17315000000,13690000000,10896000000,10897000000,979000000,1657000000,3077000000,1674000000,1011000000,667000000,49000000,618000000,10782000000,77000000,1000000,157000000,118000000,5111000000,1784000000,687000000,402000000,0,0,1975000000,652000000,1991000000,0,1991000000,1991000000,458000000,775000000,12204000000,9814000000,14971000000,1000000,612000000
NVDA,2019-01-27,USD,13292000000,10557000000,782000000,7422000000,1575000000,1424000000,2735000000,1404000000,767000000,663000000,45000000,618000000,13964000000,None,6640000000,108000000,108000000,3950000000,1329000000,511000000,138000000,None,0,1233000000,None,1988000000,0,None,1988000000,818000000,633000000,9342000000,9263000000,12565000000,1000000,606000000
NVDA,2018-01-28,USD,11241000000,9255000000,4002000000,7108000000,796000000,1265000000,1986000000,997000000,740000000,670000000,52000000,618000000,3106000000,None,3106000000,319000000,319000000,3770000000,1153000000,596000000,63000000,20000000,15000000,1245000000,None,1985000000,15000000,None,1985000000,542000000,632000000,7471000000,6650000000,8787000000,1000000,606000000
NVDA,2017-01-29,USD,9841000000,8536000000,1766000000,6798000000,794000000,826000000,1305000000,521000000,670000000,722000000,104000000,618000000,5468000000,None,5032000000,62000000,62000000,4048000000,1788000000,485000000,89000000,800000000,827000000,518000000,6000000,1983000000,796000000,None,1983000000,211000000,277000000,5762000000,5039000000,6108000000,1000000,585000000
BRK-B,2020-12-31,USD,873729000000,300378000000,47990000000,281170000000,19208000000,None,103065000000,14601000000,None,97486000000,23752000000,73734000000,301580000000,37713000000,281170000000,-110220000000,-602835000000,422393000000,76657000000,None,None,None,3348000000,73261000000,None,28713000000,3348000000,None,28713000000,73309000000,422393000000,443164000000,32853000000,444626000000,8000000,3687360528
BRK-B,BRK-B,2019-12-31,USD,817729000000,267879000000,64175000000,248027000000,19852000000,None,106289000000,174341000000,None,106289000000,24407000000,81882000000,266712000000,53717000000,248027000000,-110291000000,128280000000,389166000000,24000000,None,None,None,4686000000,65823000000,None,24911000000,4686000000,None,24911000000,15416000000,242511000000,424791000000,8125000000,402493000000,8000000,3828920237
BRK-B,2018-12-31,USD,707794000000,191826000000,30361000000,172757000000,19069000000,None,118932000000,20617000000,None,118932000000,37907000000,81025000000,192655000000,53503000000,172757000000,-104693000000,94025000000,355294000000,323000000,None,None,None,4373000000,50503000000,None,25509000000,4373000000,None,25509000000,15227000000,218166000000,348703000000,3109000000,321112000000,8000000,3832226499
BRK-B,2017-12-31,USD,702095000000,47770000000,31583000000,31583000000,17366000000,None,120402000000,148288000000,None,120402000000,39144000000,81258000000,191893000000,223276000000,170540000000,-75409000000,72928000000,350141000000,39139000000,None,None,None,6320000000,211651000000,None,22876000000,6320000000,None,22876000000,32819000000,209479000000,348296000000,1763000000,255786000000,8000000,1343052908
BRK-B,2016-12-31,USD,620854000000,43775000000,28048000000,28048000000,15727000000,None,119706000000,143084000000,None,119706000000,40220000000,79486000000,145497000000,176053000000,23465000000,142000000,261666000000,335426000000,15689000000,None,None,None,2094000000,197809000000,None,28138000000,2094000000,None,28138000000,1130000000,194919000000,282070000000,1763000000,210846000000,8000000,1304334864
JPM,2020-12-31,USD,3384757000000,535482000000,527609000000,527609000000,333000000,None,94063000000,27109000000,None,49248000000,4180000000,49248000000,1790848000000,388178000000,355951000000,2299244000000,-930253000000,3105403000000,53509000000,None,None,45208000000,45208000000,3800000000,None,281683000000,45208000000,204800000000,326891000000,2144257000000,497127000000,279354000000,88184000000,236990000000,4105000000,3049400000
