ticker,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
MSFT,2021-06-30,USD,76740000000,2438000000,None,10673000000,11609000000,11821000000,20622000000,6481000000,737000000,61271000000,-27577000000,-48486000000,None,27385000000,27385000000,None,16521000000,16521000000,None,1693000000,None,None,-25692000000,None,648000000,-29000000,61271000000
MSFT,2020-06-30,USD,60675000000,2165000000,None,4293000000,5776000000,12911000000,15441000000,2577000000,-168000000,44281000000,-12223000000,-46031000000,0,22968000000,22968000000,None,15137000000,15137000000,None,1343000000,None,None,-21625000000,None,2220000000,-201000000,44281000000
MSFT,2019-06-30,USD,52185000000,1917000000,None,9633000000,5767000000,11600000000,13925000000,2812000000,-597000000,39240000000,-15773000000,-36887000000,0,19543000000,19543000000,None,13811000000,13811000000,None,1142000000,None,None,-18401000000,None,-590000000,-115000000,39240000000
MSFT,2018-06-30,USD,43884000000,1697000000,None,26031000000,5564000000,9900000000,11632000000,3862000000,465000000,16571000000,-6061000000,-33590000000,-7324000000,10721000000,10721000000,None,12699000000,12699000000,None,1002000000,None,None,-9719000000,None,4283000000,50000000,16571000000
MSFT,2017-06-30,USD,39507000000,2068000000,None,69711000000,348000000,7800000000,8129000000,925000000,-50000000,21204000000,-46781000000,8408000000,-4963000000,11788000000,11788000000,None,11845000000,11845000000,None,772000000,None,None,-11016000000,None,1153000000,19000000,25489000000
AAPL,2021-09-30,USD,104038000000,4087000000,None,19801000000,24712000000,11284000000,11085000000,14028000000,2642000000,94680000000,-14545000000,-93353000000,2044000000,85971000000,85971000000,None,14467000000,14467000000,None,1105000000,20393000000,None,-84866000000,None,-3860000000,None,94680000000
AAPL,2020-09-30,USD,80674000000,4502000000,None,6935000000,1245000000,11056000000,7309000000,-8470000000,127000000,57411000000,-4289000000,-86820000000,-1926000000,72358000000,72358000000,None,14081000000,14081000000,None,880000000,16091000000,None,-71478000000,None,-10435000000,None,57411000000
AAPL,2019-09-30,USD,69391000000,3423000000,None,-7248000000,-3760000000,12547000000,10495000000,-3176000000,289000000,55256000000,45896000000,-90976000000,-11954000000,66897000000,66897000000,None,14119000000,14119000000,None,781000000,6963000000,None,-66116000000,None,24311000000,None,55256000000
AAPL,2018-09-30,USD,77434000000,3022000000,None,47665000000,12927000000,10903000000,13313000000,13332000000,-828000000,59531000000,16066000000,-87876000000,-74000000,72738000000,72738000000,None,13712000000,13712000000,None,669000000,6969000000,None,-72069000000,None,5624000000,None,59531000000
AAPL,2017-09-30,USD,64225000000,2092000000,None,8838000000,14388000000,10157000000,12795000000,6347000000,2723000000,48351000000,-46446000000,-17974000000,7704000000,32900000000,32900000000,None,12769000000,12563000000,None,555000000,28662000000,None,-32345000000,None,-195000000,None,48351000000
AMZN,2020-12-31,USD,66064000000,5087000000,None,18745000000,2849000000,25251000000,40140000000,-8169000000,2849000000,21331000000,-59611000000,-1104000000,None,None,None,None,None,None,None,None,10525000000,None,None,None,5967000000,618000000,21331000000
